Symbol,Date,StockPrice,DeliveryPercent,Volatility,PcrOI,PcrVolume,NiftyPrice,NiftyChgPrc,IndiaVix,IndiaVixChgPrc
ASIANPAINT,09-12-2018,1291,60.86,1.16,0.39,0.56,11369.9,0.73,14.25,-7.05
ASIANPAINT,09-14-2018,1333.9,55.98,1.38,0.5,0.38,11515.2,1.28,13.8425,-2.86
ASIANPAINT,09-17-2018,1308.65,47.83,1.42,0.45,0.4,11377.75,-1.19,14.495,4.71
ASIANPAINT,09-18-2018,1292.1,47.55,1.41,0.44,0.48,11278.9,-0.87,14.415,-0.55
ASIANPAINT,09-19-2018,1291.35,40.72,1.37,0.36,0.41,11234.35,-0.39,14.005,-2.84
ASIANPAINT,09-21-2018,1304.75,48.08,1.35,0.36,0.38,11143.1,-0.81,15.535,10.92
ASIANPAINT,09-24-2018,1271.95,60.71,1.45,0.33,0.57,10967.4,-1.58,17.4275,12.18
ASIANPAINT,09-25-2018,1289.9,48.52,1.45,0.42,0.51,11067.45,0.91,16.6825,-4.27
ASIANPAINT,09-26-2018,1282,67.04,1.41,0.4,0.69,11053.8,-0.12,17.0875,2.43
ASIANPAINT,09-27-2018,1287.5,48.05,1.37,0.41,0.49,10977.55,-0.69,16.9225,-0.97
ASIANPAINT,09-28-2018,1293.3,45.16,1.33,0.73,0.51,10930.45,-0.43,16.995,0.43
ASIANPAINT,10-01-2018,1279.8,48.45,1.31,0.63,0.61,11008.3,0.71,16.835,-0.94
ASIANPAINT,10-03-2018,1251.75,45.67,1.38,0.6,0.67,10858.25,-1.36,18.1175,7.62
ASIANPAINT,10-04-2018,1224.7,61.31,1.44,0.58,1.03,10599.25,-2.39,18.915,4.4
ASIANPAINT,10-05-2018,1209.5,56.57,1.43,0.54,0.9,10316.45,-2.67,19.7325,4.32
ASIANPAINT,10-08-2018,1247.8,43.06,1.58,0.65,0.45,10348.05,0.31,20.1475,2.1
ASIANPAINT,10-09-2018,1201.4,32.68,1.79,0.59,0.83,10301.05,-0.45,19.755,-1.95
ASIANPAINT,10-10-2018,1225.95,25.1,1.8,0.7,0.8,10460.1,1.54,17.9075,-9.35
ASIANPAINT,10-11-2018,1219.05,41.75,1.75,0.59,0.7,10234.65,-2.16,20.5475,14.74
ASIANPAINT,10-12-2018,1261.2,45.66,1.89,0.74,0.4,10472.5,2.32,18.6275,-9.34
ASIANPAINT,10-15-2018,1250.3,54.78,1.84,0.72,0.73,10512.5,0.38,18.885,1.38
ASIANPAINT,10-16-2018,1267.6,47.26,1.82,0.74,0.7,10584.75,0.69,17.3725,-8.01
ASIANPAINT,10-17-2018,1259,52.29,1.77,0.83,0.85,10453.05,-1.24,17.98,3.5
ASIANPAINT,10-19-2018,1235.4,36.68,1.78,0.78,0.86,10303.55,-1.43,19.7875,10.05
ASIANPAINT,10-22-2018,1200.4,37.9,1.86,0.83,1.23,10245.25,-0.57,21.3575,7.93
ASIANPAINT,10-23-2018,1138.45,36.73,2.22,0.7,1.07,10146.8,-0.96,19.0375,-10.86
